T[eV,lin]           D[g/cm^3,lin]       DP[GPa,lin]         DET[atm,lin]        
+2.7211385e+01      +1.0000000e+00      -5.2428618e+01      +5.3998780e+03      
+4.0817077e+01      +1.5000000e+00      -6.2196594e+01      +5.4009173e+03      
+5.4422769e+01      +2.0000000e+00      -6.9600795e+01      +5.4019647e+03      
+6.8028461e+01      +2.5000000e+00      -7.5205033e+01      +5.4030020e+03      
+8.1634153e+01      +3.0000000e+00      -7.9373544e+01      +5.4040196e+03      
+2.7211385e+01      +1.0000000e+00      -9.2572022e+01      +2.3038195e+03      
+4.0817077e+01      +1.5000000e+00      -1.0724594e+02      +2.3048069e+03      
+5.4422769e+01      +2.0000000e+00      -1.1832248e+02      +2.3058043e+03      
+6.8028461e+01      +2.5000000e+00      -1.2669306e+02      +2.3067940e+03      
+8.1634153e+01      +3.0000000e+00      -1.3292413e+02      +2.3077665e+03      
+2.7211385e+01      +1.0000000e+00      -1.4049565e+02      +3.4143397e+03      
+4.0817077e+01      +1.5000000e+00      -1.6000550e+02      +3.4152895e+03      
+5.4422769e+01      +2.0000000e+00      -1.7468852e+02      +3.4162511e+03      
+6.8028461e+01      +2.5000000e+00      -1.8576294e+02      +3.4172068e+03      
+8.1634153e+01      +3.0000000e+00      -1.9399709e+02      +3.4181473e+03      
+2.7211385e+01      +1.0000000e+00      -1.9561908e+02      +2.9576076e+03      
+4.0817077e+01      +1.5000000e+00      -2.1987701e+02      +2.9585279e+03      
+5.4422769e+01      +2.0000000e+00      -2.3808404e+02      +2.9594614e+03      
+6.8028461e+01      +2.5000000e+00      -2.5178923e+02      +2.9603906e+03      
+8.1634153e+01      +3.0000000e+00      -2.6196002e+02      +2.9613062e+03      
+2.7211385e+01      +1.0000000e+00      -2.5749364e+02      +1.5484758e+03      
+4.0817077e+01      +1.5000000e+00      -2.8641831e+02      +1.5493716e+03      
+5.4422769e+01      +2.0000000e+00      -3.0806235e+02      +1.5502820e+03      
+6.8028461e+01      +2.5000000e+00      -3.2431982e+02      +1.5511895e+03      
+8.1634153e+01      +3.0000000e+00      -3.3635721e+02      +1.5520848e+03      
