T[eV,lin]           D[g/cm^3,lin]       P[GPa,lin]          ET[atm,lin]         
+2.7211385e+01      +1.0000000e+00      +4.0682853e+02      +1.0931655e+01      
+3.3258359e+01      +1.2222222e+00      +5.4610841e+02      +1.4797257e+01      
+3.9305333e+01      +1.4444444e+00      +6.9820375e+02      +1.8988629e+01      
+4.5352308e+01      +1.6666667e+00      +8.6174645e+02      +2.3461206e+01      
+5.1399282e+01      +1.8888889e+00      +1.0355952e+03      +2.8178092e+01      
+5.7446256e+01      +2.1111111e+00      +1.2187761e+03      +3.3107845e+01      
+6.3493231e+01      +2.3333333e+00      +1.4104425e+03      +3.8225274e+01      
+6.9540205e+01      +2.5555556e+00      +1.6098509e+03      +4.3506977e+01      
+7.5587179e+01      +2.7777778e+00      +1.8163406e+03      +4.8933609e+01      
+8.1634154e+01      +3.0000000e+00      +2.0293202e+03      +5.4487928e+01      
+2.7211385e+01      +1.0000000e+00      +4.9691613e+02      -2.0425877e+02      
+3.3258359e+01      +1.2222222e+00      +6.6461937e+02      -2.0053136e+02      
+3.9305333e+01      +1.4444444e+00      +8.4756257e+02      -1.9648737e+02      
+4.5352308e+01      +1.6666667e+00      +1.0441527e+03      -1.9216925e+02      
+5.1399282e+01      +1.8888889e+00      +1.2530615e+03      -1.8761228e+02      
+5.7446256e+01      +2.1111111e+00      +1.4731546e+03      -1.8284565e+02      
+6.3493231e+01      +2.3333333e+00      +1.7034470e+03      -1.7789431e+02      
+6.9540205e+01      +2.5555556e+00      +1.9430709e+03      -1.7277918e+02      
+7.5587179e+01      +2.7777778e+00      +2.1912561e+03      -1.6751933e+02      
+8.1634154e+01      +3.0000000e+00      +2.4473111e+03      -1.6213078e+02      
+2.7211385e+01      +1.0000000e+00      +5.8835202e+02      -1.5562721e+02      
+3.3258359e+01      +1.2222222e+00      +7.8421931e+02      -1.5201137e+02      
+3.9305333e+01      +1.4444444e+00      +9.9767175e+02      -1.4808716e+02      
+4.5352308e+01      +1.6666667e+00      +1.2269016e+03      -1.4389459e+02      
+5.1399282e+01      +1.8888889e+00      +1.4704035e+03      -1.3946849e+02      
+5.7446256e+01      +2.1111111e+00      +1.7268898e+03      -1.3483526e+02      
+6.3493231e+01      +2.3333333e+00      +1.9952436e+03      -1.3001951e+02      
+6.9540205e+01      +2.5555556e+00      +2.2744807e+03      -1.2504135e+02      
+7.5587179e+01      +2.7777778e+00      +2.5637269e+03      -1.1991948e+02      
+8.1634154e+01      +3.0000000e+00      +2.8621954e+03      -1.1466844e+02      
+2.7211385e+01      +1.0000000e+00      +6.8125745e+02      -4.9079961e+01      
+3.3258359e+01      +1.2222222e+00      +9.0509508e+02      -4.5557857e+01      
+3.9305333e+01      +1.4444444e+00      +1.1487957e+03      -4.1733672e+01      
+4.5352308e+01      +1.6666667e+00      +1.4103468e+03      -3.7647385e+01      
+5.1399282e+01      +1.8888889e+00      +1.6880705e+03      -3.3330592e+01      
+5.7446256e+01      +2.1111111e+00      +1.9805357e+03      -2.8810620e+01      
+6.3493231e+01      +2.3333333e+00      +2.2864972e+03      -2.4109518e+01      
+6.9540205e+01      +2.5555556e+00      +2.6048595e+03      -1.9247367e+01      
+7.5587179e+01      +2.7777778e+00      +2.9346485e+03      -1.4241871e+01      
+8.1634154e+01      +3.0000000e+00      +3.2749883e+03      -9.1078283e+00      
+2.7211385e+01      +1.0000000e+00      +7.7571459e+02      -1.8248584e+02      
+3.3258359e+01      +1.2222222e+00      +1.0273726e+03      -1.7904378e+02      
+3.9305333e+01      +1.4444444e+00      +1.3011146e+03      -1.7530590e+02      
+4.5352308e+01      +1.6666667e+00      +1.5947285e+03      -1.7131034e+02      
+5.1399282e+01      +1.8888889e+00      +1.9063720e+03      -1.6708795e+02      
+5.7446256e+01      +2.1111111e+00      +2.2344732e+03      -1.6266476e+02      
+6.3493231e+01      +2.3333333e+00      +2.5776661e+03      -1.5806279e+02      
+6.9540205e+01      +2.5555556e+00      +2.9347474e+03      -1.5330111e+02      
+7.5587179e+01      +2.7777778e+00      +3.3046465e+03      -1.4839664e+02      
+8.1634154e+01      +3.0000000e+00      +3.6864018e+03      -1.4336412e+02      
+2.7211385e+01      +1.0000000e+00      +8.7178222e+02      -6.0071072e+01      
+3.3258359e+01      +1.2222222e+00      +1.1511419e+03      -5.6699077e+01      
+3.9305333e+01      +1.4444444e+00      +1.4547565e+03      -5.3036427e+01      
+4.5352308e+01      +1.6666667e+00      +1.7802200e+03      -4.9120161e+01      
+5.1399282e+01      +1.8888889e+00      +2.1255306e+03      -4.4980387e+01      
+5.7446256e+01      +2.1111111e+00      +2.4889808e+03      -4.0642355e+01      
+6.3493231e+01      +2.3333333e+00      +2.8690868e+03      -3.6127390e+01      
