x                   phi                 dphi                
+1.000000e+00       +4.100580e+00       +4.100580e+00       
+9.999990e-01       +4.100576e+00       +4.100576e+00       
+9.999930e-01       +4.100552e+00       +4.100551e+00       
+9.999570e-01       +4.100404e+00       +4.100402e+00       
+9.997410e-01       +4.099518e+00       +4.099509e+00       
+9.984450e-01       +4.094209e+00       +4.094156e+00       
+9.906690e-01       +4.062497e+00       +4.062178e+00       
+9.440130e-01       +3.877363e+00       +3.875405e+00       
+6.640770e-01       +2.933092e+00       +2.911684e+00       
+4.664636e-01       +2.414205e+00       +2.352370e+00       
+2.688501e-01       +2.000064e+00       +1.841996e+00       
+1.850208e-01       +1.854844e+00       +1.620339e+00       
+1.011914e-01       +1.729137e+00       +1.371040e+00       
+7.055563e-02       +1.688758e+00       +1.262454e+00       
+3.991988e-02       +1.652011e+00       +1.131123e+00       
+2.759137e-02       +1.638459e+00       +1.065412e+00       
+1.526286e-02       +1.625806e+00       +9.834249e-01       
+1.067820e-02       +1.621383e+00       +9.447997e-01       
+6.093541e-03       +1.617157e+00       +8.966866e-01       
+4.258789e-03       +1.615533e+00       +8.723813e-01       
+2.424038e-03       +1.613959e+00       +8.420022e-01       
+1.672071e-03       +1.613332e+00       +8.262007e-01       
+9.201038e-04       +1.612718e+00       +8.062175e-01       
+6.139068e-04       +1.612472e+00       +7.957053e-01       
+3.077099e-04       +1.612231e+00       +7.820188e-01       
+2.052425e-04       +1.612151e+00       +7.759376e-01       
+1.027751e-04       +1.612072e+00       +7.680165e-01       
+6.855100e-05       +1.612045e+00       +7.645024e-01       
+3.432689e-05       +1.612019e+00       +7.599249e-01       
+2.289603e-05       +1.612011e+00       +7.578940e-01       
+1.146518e-05       +1.612002e+00       +7.552486e-01       
+7.647275e-06       +1.611999e+00       +7.540750e-01       
+3.829370e-06       +1.611996e+00       +7.525462e-01       
+2.554190e-06       +1.611995e+00       +7.518679e-01       
+1.279010e-06       +1.611994e+00       +7.509843e-01       
+8.530995e-07       +1.611994e+00       +7.505923e-01       
+4.271892e-07       +1.611994e+00       +7.500817e-01       
+2.849352e-07       +1.611994e+00       +7.498552e-01       
+1.426812e-07       +1.611993e+00       +7.495601e-01       
+9.516836e-08       +1.611993e+00       +7.494291e-01       
+4.765552e-08       +1.611993e+00       +7.492586e-01       
+3.178623e-08       +1.611993e+00       +7.491829e-01       
+1.591694e-08       +1.611993e+00       +7.490843e-01       
+1.061660e-08       +1.611993e+00       +7.490406e-01       
+5.316259e-09       +1.611993e+00       +7.489837e-01       
+3.545945e-09       +1.611993e+00       +7.489584e-01       
+1.775631e-09       +1.611993e+00       +7.489255e-01       
+1.184346e-09       +1.611993e+00       +7.489109e-01       
+5.930606e-10       +1.611993e+00       +7.488918e-01       
+3.955714e-10       +1.611993e+00       +7.488834e-01       
+1.980823e-10       +1.611993e+00       +7.488724e-01       
+1.321209e-10       +1.611993e+00       +7.488675e-01       
+6.615947e-11       +1.611993e+00       +7.488612e-01       
+4.412837e-11       +1.611993e+00       +7.488583e-01       
+2.209726e-11       +1.611993e+00       +7.488547e-01       
+1.473888e-11       +1.611993e+00       +7.488530e-01       
+7.380486e-12       +1.611993e+00       +7.488509e-01       
+4.922784e-12       +1.611993e+00       +7.488500e-01       
+2.465082e-12       +1.611993e+00       +7.488487e-01       
+1.644210e-12       +1.611993e+00       +7.488482e-01       
+8.233375e-13       +1.611993e+00       +7.488475e-01       
+5.315175e-13       +1.611993e+00       +7.488472e-01       
+2.396974e-13       +1.611993e+00       +7.488467e-01       
+1.405663e-13       +1.611993e+00       +7.488465e-01       
+4.143512e-14       +1.611993e+00       +7.488462e-01       
+2.009170e-14       +1.611993e+00       +7.488460e-01       
+8.761112e-15       +1.611993e+00       +7.488460e-01       
+3.279219e-15       +1.611993e+00       +7.488459e-01       
+9.584218e-16       +1.611993e+00       +7.488458e-01       
+1.667904e-16       +1.611993e+00       +7.488458e-01       
+0.000000e+00       +1.611993e+00       +7.488457e-01       
