x                   phi                 dphi                psi                 dpsi                
+1.000000e+00       +4.100580e+00       +4.100580e+00       -1.536573e+01       -1.536573e+01       
+9.999990e-01       +4.100576e+00       +4.100576e+00       -1.536571e+01       -1.536573e+01       
+9.999930e-01       +4.100552e+00       +4.100551e+00       -1.536562e+01       -1.536572e+01       
+9.999570e-01       +4.100404e+00       +4.100402e+00       -1.536507e+01       -1.536568e+01       
+9.997410e-01       +4.099518e+00       +4.099509e+00       -1.536175e+01       -1.536545e+01       
+9.984450e-01       +4.094209e+00       +4.094156e+00       -1.534184e+01       -1.536404e+01       
+9.906690e-01       +4.062497e+00       +4.062178e+00       -1.522240e+01       -1.535562e+01       
+9.440130e-01       +3.877363e+00       +3.875405e+00       -1.450712e+01       -1.530676e+01       
+6.640770e-01       +2.933092e+00       +2.911684e+00       -1.025416e+01       -1.511341e+01       
+4.671112e-01       +2.415729e+00       +2.354093e+00       -7.277114e+00       -1.514574e+01       
+2.701455e-01       +2.002452e+00       +1.845334e+00       -4.273229e+00       -1.540124e+01       
+1.864396e-01       +1.857145e+00       +1.624233e+00       -2.975969e+00       -1.560617e+01       
+1.027336e-01       +1.731256e+00       +1.376140e+00       -1.658275e+00       -1.589403e+01       
+7.191919e-02       +1.690483e+00       +1.267649e+00       -1.166490e+00       -1.602818e+01       
+4.110476e-02       +1.653354e+00       +1.136905e+00       -6.702615e-01       -1.618337e+01       
+2.852285e-02       +1.639454e+00       +1.070804e+00       -4.662014e-01       -1.625458e+01       
+1.594094e-02       +1.626474e+00       +9.886262e-01       -2.612089e-01       -1.633188e+01       
+1.118937e-02       +1.621867e+00       +9.494638e-01       -1.835332e-01       -1.636309e+01       
+6.437802e-03       +1.617466e+00       +9.008195e-01       -1.057058e-01       -1.639576e+01       
+4.465292e-03       +1.615714e+00       +8.753477e-01       -7.335120e-02       -1.640986e+01       
+2.492782e-03       +1.614017e+00       +8.433155e-01       -4.096836e-02       -1.642437e+01       
+1.678664e-03       +1.613337e+00       +8.263532e-01       -2.759451e-02       -1.643051e+01       
